[SETTINGS]
start	9
width	320
height	240

#id	type	file
# type: 0: intro, 1: play scene 
[SCENES]
#99	data\intro.txt
9	data\scene00.txt
2	data\scene02.txt
5	data\scene0005.txt

# id	file 
[TEXTURES]
-100	textures\bbox.png
0	textures\mario.png
1	textures\black-background.png
2	textures\overworld-icons-2.png
3	textures\intro-banner.png
4	textures\curtain.png
5	textures\darken-the-screen.png
10	textures\enemies.png
20	textures\misc.png
21	textures\misc-2.png
33	textures\effect.png
42	textures\fireball_right.png
43	textures\fireball_left.png
44	textures\fireball_bonus_left.png
55	textures\status_bar.png
56	textures\power_state.png
50	textures\enemies_custom_2.png
51	textures\enemies_custom.png
